    PID    PPID STAT     ELAPSED CMD
    859       1 Ss         03:12 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    865       1 Ssl        03:12 /usr/sbin/irqbalance
    867       1 Ss         03:12 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    869       1 Ssl        03:12 /usr/lib/polkit-1/polkitd --no-debug
    871       1 Ssl        03:12 /snap/amazon-ssm-agent/13009/amazon-ssm-agent
    875       1 Ssl        03:12 /usr/lib/snapd/snapd
    877       1 Ss         03:12 /usr/lib/systemd/systemd-logind
    878       1 Ssl        03:12 /usr/libexec/udisks2/udisksd
    890       1 Ss         03:12 /usr/sbin/cron -f -P
    891       2 I          03:12 [kworker/u48:2]
    906       2 I          03:12 [kworker/16:2-events]
    922       2 I          03:12 [kworker/14:2-rcu_par_gp]
    926       2 I          03:12 [kworker/19:2-cgroup_destroy]
    936       1 Ss+        03:12 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
    943       1 Ssl        03:12 /usr/sbin/rsyslogd -n -iNONE
    948       1 S          03:12 /usr/sbin/chronyd -F 1
    958       1 Ss+        03:12 /sbin/agetty -o -p -- \u --noclear - linux
    964     948 S          03:12 /usr/sbin/chronyd -F 1
    967       1 Ssl        03:12 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   1007       1 Ssl        03:12 /usr/sbin/ModemManager
   1099       1 Ss         03:11 sshd: /usr/sbin/sshd -D -o AuthorizedKeysCommand /usr/share/ec2-instance-connect/eic_run_authorized_keys %u %f -o AuthorizedKeysCommandUser ec2-instance-connect [listener] 0 of 10-100 startups
   1102       2 I          03:11 [kworker/18:2-events]
   1385       2 I          03:10 [kworker/13:3-cgroup_destroy]
   3090       2 I          01:08 [kworker/7:3-cgroup_destroy]
   3177       2 I          00:16 [kworker/4:3-cgroup_destroy]
   3178    1099 Ss         00:00 sshd: ubuntu [priv]
   3181       2 S          00:00 [psimon]
   3183       1 Ss         00:00 /usr/lib/systemd/systemd --user
   3184    3183 S          00:00 (sd-pam)
   3242    3178 S          00:00 sshd: ubuntu@notty
   3243    3242 Ss         00:00 timeout 90s bash -s
   3244    3243 S          00:00 bash -s
   3336    3244 R          00:00 ps -eo pid,ppid,stat,etime,cmd
