    PID    PPID STAT     ELAPSED CMD
   4400    4399 Ss+        11:23 bash -c stty intr ^] && sudo ./FireSim-f2 +permissive   +macaddr0=00:12:6D:00:00:02 +blkdev0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver.img +niclog0=niclog0 +blkdev-log0=blkdev-log0 +dwarf-file-name=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin-dwarf +autocounter-readrate=0 +autocounter-filename-base=AUTOCOUNTERFILE  +print-start=0 +print-end=-1 +linklatency0=6405 +netbw0=200 +shmemportname0=0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +simplenic-relaxed-required-bytes=1 +simplenic-empty-switch-poll-interval=1024 +simplenic-token-debug=0 +cpu-managed-stream-debug=0 +heartbeat-polling-interval=100000000 +slotid=0 +permissive-off +prog0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin   && stty intr ^c
   4402    4400 S+         11:23 sudo ./FireSim-f2 +permissive +macaddr0=00:12:6D:00:00:02 +blkdev0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver.img +niclog0=niclog0 +blkdev-log0=blkdev-log0 +dwarf-file-name=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin-dwarf +autocounter-readrate=0 +autocounter-filename-base=AUTOCOUNTERFILE +print-start=0 +print-end=-1 +linklatency0=6405 +netbw0=200 +shmemportname0=0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +simplenic-relaxed-required-bytes=1 +simplenic-empty-switch-poll-interval=1024 +simplenic-token-debug=0 +cpu-managed-stream-debug=0 +heartbeat-polling-interval=100000000 +slotid=0 +permissive-off +prog0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin
   4403    4402 Ss         11:23 sudo ./FireSim-f2 +permissive +macaddr0=00:12:6D:00:00:02 +blkdev0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver.img +niclog0=niclog0 +blkdev-log0=blkdev-log0 +dwarf-file-name=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin-dwarf +autocounter-readrate=0 +autocounter-filename-base=AUTOCOUNTERFILE +print-start=0 +print-end=-1 +linklatency0=6405 +netbw0=200 +shmemportname0=0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +simplenic-relaxed-required-bytes=1 +simplenic-empty-switch-poll-interval=1024 +simplenic-token-debug=0 +cpu-managed-stream-debug=0 +heartbeat-polling-interval=100000000 +slotid=0 +permissive-off +prog0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin
   4404    4403 R+         11:23 ./FireSim-f2 +permissive +macaddr0=00:12:6D:00:00:02 +blkdev0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver.img +niclog0=niclog0 +blkdev-log0=blkdev-log0 +dwarf-file-name=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin-dwarf +autocounter-readrate=0 +autocounter-filename-base=AUTOCOUNTERFILE +print-start=0 +print-end=-1 +linklatency0=6405 +netbw0=200 +shmemportname0=0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +simplenic-relaxed-required-bytes=1 +simplenic-empty-switch-poll-interval=1024 +simplenic-token-debug=0 +cpu-managed-stream-debug=0 +heartbeat-polling-interval=100000000 +slotid=0 +permissive-off +prog0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin
   4976       2 I          10:40 [kworker/14:3-cgroup_destroy]
   5310       2 I          10:19 [kworker/3:0-cgroup_destroy]
   5366       2 I          10:12 [kworker/13:1-cgroup_destroy]
   5748       2 I          09:49 [kworker/2:0-mm_percpu_wq]
   5815       2 I          09:38 [kworker/1:1-cgroup_destroy]
   5896       2 I          09:28 [kworker/20:0-cgroup_destroy]
   5897       2 I          09:28 [kworker/15:1-mm_percpu_wq]
   6079       2 I          09:27 [kworker/23:1-cgroup_destroy]
   6917       2 I          08:15 [kworker/22:2-mm_percpu_wq]
   8163       2 I          06:32 [kworker/10:0-cgroup_destroy]
   8164       2 I          06:32 [kworker/10:1-cgwb_release]
   8652       2 I          05:51 [kworker/0:2-events]
   9610       2 I          04:46 [kworker/3:2-cgroup_destroy]
  10001       2 I          04:15 [kworker/11:0-cgroup_destroy]
  10068       2 I          04:07 [kworker/20:2-mm_percpu_wq]
  10069       2 I          04:02 [kworker/u51:0-writeback]
  10202       2 I          03:46 [kworker/8:0-cgroup_destroy]
  10908       2 I          02:55 [kworker/9:0-events]
  10975       2 I          02:44 [kworker/21:1-cgroup_destroy]
  11425       2 I          02:15 [kworker/2:1]
  11816       2 I          01:48 [kworker/u49:0]
  12276       2 I          01:11 [kworker/12:0-events]
  12595       2 I          00:50 [kworker/15:2]
  12664       2 I          00:40 [kworker/14:0-events]
  13049       2 I          00:36 [kworker/13:2-mm_percpu_wq]
  13050       2 I          00:35 [kworker/u51:1]
  13117       2 I          00:30 [kworker/1:0]
  13442    1473 Ss         00:00 sshd: ubuntu [priv]
  13491   13442 S          00:00 sshd: ubuntu@notty
